author,category,difficulty,duration,link,name,rating
Stanislav Poritskiy,architecture-construction,Advanced,1h 43m,https://www.pluralsight.com:443/courses/rendering-interiors-3ds-max-maxwell-render-871,Rendering Interiors in 3ds Max and Maxwell Render,
Kevin Griendling,architecture-construction,Beginner,6h 16m,https://www.pluralsight.com:443/courses/are-vol-5-project-development-documentation,Prepare for the ARE Vol. 5: Project Development & Documentation,
BSides Jacksonville,security-certifications,Intermediate,11m,https://www.pluralsight.com:443/courses/bsides-jax-session-22,Building a PC Lab on the Cheap,
BSides Jacksonville,security-certifications,Intermediate,31m,https://www.pluralsight.com:443/courses/bsides-jax-session-24,Don't Just Patch Your Users against Social Engineering,
BSides Jacksonville,security-certifications,Intermediate,48m,https://www.pluralsight.com:443/courses/bsides-jax-session-03,Women in Technology Info Sec Panel,
,malware-analysis,Beginner,3h 14m,https://www.pluralsight.com:443/courses/security-risks-assessing-mitigating,Assessing and Mitigating Security Risks,
Gus Khawaja,security-fundamentals,Intermediate,2h 33m,https://www.pluralsight.com:443/courses/social-engineering-with-social-engineer-toolkit,Social Engineering with the Social-Engineer Toolkit,
Daniel Lachance,malware-analysis,Intermediate,1h 33m,https://www.pluralsight.com:443/courses/network-access-authentication-cnd,Network Access and Authentication,
BSides Huntsville,malware-analysis,Intermediate,40m,https://www.pluralsight.com:443/courses/bsides-huntsville-session-05,Reversing the Gophe Spambot: Confronting COM Code and Surmounting STL Snags,
Peter Mosmans,security-fundamentals,Intermediate,1h 29m,https://www.pluralsight.com:443/courses/threat-modeling-fundamentals,Threat Modeling Fundamentals,
Phill Monson,creative-professional,Beginner,38m,https://www.pluralsight.com:443/courses/astrophotography-fundamentals,Astrophotography Fundamentals,
Andrew Brust,sql,Beginner,2h 40m,https://www.pluralsight.com:443/courses/understanding-nosql,Understanding NoSQL,
Mark Masters,creative-professional,Beginner,9h 21m,https://www.pluralsight.com:443/courses/blender-fundamentals,Blender Fundamentals,
Pinal Dave,sql,Intermediate,1h 58m,https://www.pluralsight.com:443/courses/using-memory-optimized-tables-native-stored-procedures,Using Memory-optimized Tables and Native Stored Procedures,
Bill Kulterman,sql,Intermediate,4h 40m,https://www.pluralsight.com:443/courses/configuring-sharepoint-2013-business-intelligence,Configuring SharePoint 2013 for Business Intelligence,
Papa Georgio,creative-professional,Beginner,50m,https://www.pluralsight.com:443/courses/cg101-modeling-712,CG101: Modeling,
Big Data LDN,big-data,Intermediate,18m,https://www.pluralsight.com:443/courses/big-data-ldn-session-65,Modernise Your IT Infrastructure for AI,
Big Data LDN,big-data,Intermediate,27m,https://www.pluralsight.com:443/courses/big-data-ldn-session-161,DataOps for AI and Digital Transformation,
Big Data LDN,big-data,Intermediate,28m,https://www.pluralsight.com:443/courses/big-data-ldn-session-102,Data Science at SEGA,
Big Data LDN,big-data,Intermediate,25m,https://www.pluralsight.com:443/courses/big-data-ldn-session-154,Data Governance as a Customer Service,
Big Data LDN,big-data,Intermediate,18m,https://www.pluralsight.com:443/courses/big-data-ldn-session-89,Modern Enterprise Data Engineering,
Big Data LDN,big-data,Intermediate,30m,https://www.pluralsight.com:443/courses/big-data-ldn-session-01,The Database Is Only Half Done,
Big Data LDN,big-data,Intermediate,25m,https://www.pluralsight.com:443/courses/big-data-ldn-session-150,Data at SEGA Europe,
Jeff Batt,web-development,Beginner,2h,https://www.pluralsight.com:443/courses/web-layouts-flexbox-bootstrap-4,Web Layouts with Flexbox and Bootstrap 4,
Big Data LDN,big-data,Intermediate,20m,https://www.pluralsight.com:443/courses/big-data-ldn-session-107,Converting the CDO to a Profit Centre,
Christian Wenz,web-development,Intermediate,5h 17m,https://www.pluralsight.com:443/courses/php-web-application-security,PHP Web Application Security,
