code,link,name,site,tags
ADM-211,https://www.udemy.com/course/adm-211-sales-force-management-essential-management-exam/?couponCode=ADM-211,[Free] ADM-211 Sales Force Management Essential Management Exam,Learnviral,"FREE/100% discount,IT & Software,IT Certification,Udemy,Up Strive Hub"
0393B2DAB7183CDE1BCB,https://www.udemy.com/course/online-course-essentials-online-course-as-fast-as-possible/?couponCode=0393B2DAB7183CDE1BCB,[Free] Online Course Essentials – Online Course as Fast As Possible,Learnviral,"Business,Entrepreneurship,FREE/100% discount,Nick Nyxson,Online Course Creation,Udemy,Business,Entrepreneurship,FREE/100% discount,Nick Nyxson,Online Course Creation,Udemy,Business,Entrepreneurship,FREE/100% discount,Nick Nyxson,Online Course Creation,Udemy"
8B250B8AAB21301C26C1,https://www.udemy.com/course/mental-maths-learn-multiplication-tables-upto-100-in-30-mins/?couponCode=8B250B8AAB21301C26C1,[Free] Mental Maths-Learn Multiplication Tables upto 100 in 30 mins,Learnviral,"FREE/100% discount,Kripansh Grover,Memory & Study Skills,Mental Math,Personal Development,Udemy,$10 codes,Kripansh Grover,Memory & Study Skills,Mental Math,Personal Development,Udemy"
DEV-501,https://www.udemy.com/course/dev-501-sales-force-advanced-developer-practice-exam/?couponCode=DEV-501,[Free] DEV-501 Sales Force Advanced Developer Practice Exam,Learnviral,"FREE/100% discount,IT & Software,IT Certification,Udemy,Up Strive Hub"
LEARN4FREEJUNE,https://www.udemy.com/course/learn-c-programming-from-scratch-n/?couponCode=LEARN4FREEJUNE,[Free] Learn C++ Programming From Scratch,Learnviral,"C++,Development,FREE/100% discount,Kiran Gavali,Programming Languages,Udemy,C++,Development,FREE/100% discount,Kiran Gavali,Programming Languages,Udemy,C++,Development,FREE/100% discount,Kiran Gavali,Programming Languages,Udemy"
33D5301307F6AE2AEF97,https://www.udemy.com/course/8-15-hlt/?couponCode=33D5301307F6AE2AEF97,[Free] تعليم البرمجة للمبتدئين و للأطفال,Learnviral,"Abir ELTAIEF,Coding For Kids,Development,FREE/100% discount,Programming Languages,Udemy,Abir ELTAIEF,Coding For Kids,Development,FREE/100% discount,Programming Languages,Udemy,$10 codes,Abir ELTAIEF,Coding For Kids,Development,Programming Languages,Udemy,$11-$25 codes,$13 codes,Abir ELTAIEF,Coding For Kids,Development,Programming Languages,Udemy,Abir ELTAIEF,Development,FREE/100% discount,Programming Languages,Udemy"
5795F17C1A93C22F82C6,https://www.udemy.com/course/juego-de-tragamonedas-online?couponCode=5795F17C1A93C22F82C6,Juego de Tragamonedas Online,Comidoc,
DEV-501,https://www.udemy.com/course/dev-501-sales-force-advanced-developer-practice-exam?couponCode=DEV-501,DEV-501 Sales Force Advanced Developer Practice Exam,Comidoc,
LEARN4FREEJUNE,https://www.udemy.com/course/learn-c-programming-from-scratch-n?couponCode=LEARN4FREEJUNE,Learn C++ Programming From Scratch,Comidoc,
0C2B5C0615561BF9B5D5,https://www.udemy.com/course/1z0-997-oracle-cloud-infrastructure-architect-professional-k?couponCode=0C2B5C0615561BF9B5D5,1Z0-997 : Oracle Cloud Infrastructure Architect Professional,Comidoc,
YOUACCELJUNEFIN,https://www.udemy.com/course/bootstrap-jquery-certification-course-for-beginners?couponCode=YOUACCELJUNEFIN,Bootstrap & jQuery - Certification Course for Beginners,Comidoc,
ADM-211,https://www.udemy.com/course/adm-211-sales-force-management-essential-management-exam?couponCode=ADM-211,ADM-211 Sales Force Management Essential Management Exam,Comidoc,
YOUACCELJUNEFIN,https://www.udemy.com/course/how-the-internet-works-the-web-development-process?couponCode=YOUACCELJUNEFIN,How the Internet Works & the Web Development Process,Comidoc,
FREEGIFTFORJUNE,https://www.udemy.com/course/advance-strategy-to-stop-worry-anxiety-and-embrace-success?couponCode=FREEGIFTFORJUNE,"Advance Strategy to stop worry, anxiety and embrace success",Comidoc,
YOUACCELJUNEFIN,https://www.udemy.com/course/css-javascript-certification-course-for-beginners?couponCode=YOUACCELJUNEFIN,CSS & JavaScript - Certification Course for Beginners,Comidoc,
N/A,https://www.udemy.com/course/introduction-to-application-security-appsec/?&deal_code=JUNESAVINGS2020&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Introduction to Application Security (AppSec),SmartyBro,"Application Security,IT & Software"
FA8EE2E681F1DD89D6B4,https://www.udemy.com/course/network-ethical-hacking/?couponCode=FA8EE2E681F1DD89D6B4&deal_code=JUNESAVINGS2020&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,"Network Ethical Hacking for Beginners (Kali 2020, Hands-on)",SmartyBro,"Ethical Hacking,IT & Software,Kali,Network"
WEB-DESIGN,https://www.udemy.com/course/practical-web-developer-bootcamp-zero-to-mastery/?couponCode=WEB-DESIGN&deal_code=JUNESAVINGS2020&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Web Developer Bootcamp! Master Front-End Web Development,SmartyBro,"Development,Programming,Web Development"
FREE-JAVA,https://www.udemy.com/course/complete-java-programming-bootcamp-swing-javafx-postgresql-jdbc-jsp/?couponCode=FREE-JAVA&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,"Complete Java Bootcamp! Swing, JavaFX, PostgreSQL, JDBC, JSP",SmartyBro,"Development,IT & Software,Java,JavaFx,JDBC,JSP,PostgreSQL,Programming"
A17B274BDE352CED5C51,https://www.udemy.com/course/complete-hibernate-framework-basic-jpa-techniques/?couponCode=A17B274BDE352CED5C51&deal_code=JUNESAVINGS2020&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Complete Hibernate Framework: Basic JPA Techniques (2020),SmartyBro,"Development,Hibernate,IT & Software,Programming"
N/A,https://www.udemy.com/course/ios-store-programmatically/?&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,ios store programmatically,SmartyBro,"Development,IOS Development,Programming,Swift"
529A4FA5C1824D8C5D54,https://www.udemy.com/course/ms-excel-for-beginners-fast-track-training/?couponCode=529A4FA5C1824D8C5D54,MS Excel For Beginners: Fast Track Training,RealDiscount,"Excel,Excel course,Excel formulas,Excel microsoft excel,Excel online,Excel spreadsheet,Excel tutorial,Excel tutorials,Excel vba,learn Excel,learn Excel online"
X64FREE_JUN17,https://www.udemy.com/course/x64dbg-debugger/?couponCode=X64FREE_JUN17&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,x64dbg Debugger for Reverse Engineering Beginners,SmartyBro,"IT & Software,x64dbg"
N/A,https://www.udemy.com/course/asynchronous-javascript-bootcamp/?&deal_code=SOLSTICESALE&utm_source=aff-campaign&utm_medium=udemyads&utm_term=Homepage&utm_content=Textlink&utm_campaign=NetSec-20May2020&ranMID=39197&ranEAID=VkwVKCHWj2A&ranSiteID=VkwVKCHWj2A-XeSO.U1ql6cpU4sukeRaKQ&LSNPUBID=VkwVKCHWj2A,Asynchronous JavaScript Bootcamp,SmartyBro,"Development,Javascript,Programming"
E593369B2763601B81D5,https://www.udemy.com/course/network-operations-center-engineer/?couponCode=E593369B2763601B81D5,Network Operations Center Engineer,RealDiscount,
